ORGAN_CODE,FIELD_NM,SECTOR_NM,YYMM,VAL
6110000,일반공공행정,입법및선거관리,2017,21329011843
6110000,일반공공행정,지방행정ㆍ재정지원,2017,1991020
6110000,일반공공행정,재정ㆍ금융,2017,6.29279E+11
6110000,일반공공행정,일반행정,2017,5.56956E+11
6110000,공공질서및안전,경찰,2017,1334475794
6110000,공공질서및안전,재난방재ㆍ민방위,2017,26366202821
6110000,공공질서및안전,소방,2017,2.04647E+11
6110000,교육,유아및초중등교육,2017,3.63635E+12
6110000,교육,평생ㆍ직업교육,2017,15257976599
6110000,문화및관광,문화예술,2017,2.06256E+11
6110000,문화및관광,관광,2017,53241931567
6110000,문화및관광,체육,2017,1.17532E+11
6110000,문화및관광,문화재,2017,1.24431E+11
6110000,문화및관광,문화및관광일반,2017,78123845528
6110000,환경보호,상하수도ㆍ수질,2017,1.22322E+12
6110000,환경보호,폐기물,2017,1.33973E+11
6110000,환경보호,대기,2017,1.85047E+11
6110000,환경보호,자연,2017,42890130490
6110000,환경보호,환경보호일반,2017,80591109590
6110000,사회복지,취약계층지원,2017,1.54559E+12
6110000,사회복지,보육ㆍ가족및여성,2017,2.76783E+11
6110000,사회복지,노인ㆍ청소년,2017,3.4534E+11
6110000,사회복지,노동,2017,1.15801E+11
6110000,사회복지,주택,2017,1.22292E+12
6110000,사회복지,사회복지일반,2017,9572934104
6110000,보건,보건의료,2017,1.69634E+11
6110000,보건,식품의약안전,2017,3117395344
6110000,농림해양수산,농업ㆍ농촌,2017,20336046280
6110000,산업ㆍ중소기업,무역및투자유치,2017,11957057816
6110000,산업ㆍ중소기업,산업진흥ㆍ고도화,2017,1.92949E+11
6110000,산업ㆍ중소기업,산업ㆍ중소기업일반,2017,1813611090
6110000,수송및교통,도로,2017,8.2653E+11
6110000,수송및교통,도시철도,2017,1.00644E+12
6110000,수송및교통,대중교통ㆍ물류등기타,2017,1.58384E+12
6110000,국토및지역개발,수자원,2017,2.77984E+11
6110000,국토및지역개발,지역및도시,2017,4.85828E+11
6110000,국토및지역개발,산업단지,2017,1788001050
6110000,과학기술,과학기술일반,2017,1915419270
6110000,예비비,예비비,2017,0
6110000,기타,기타,2017,1.627E+12
3000000,일반공공행정,입법및선거관리,2017,1271702770
3000000,일반공공행정,지방행정ㆍ재정지원,2017,1007450330
